"","tSNE1","tSNE2","factor"
"TCGA-S9-A6U0",-30.7657974483725,-3.32683940590525,"23"
"TCGA-DU-8158",-32.2490672278517,-3.51440474929264,"23"
"TCGA-MT-A51W",17.5100535265798,-1.34220461040666,"12"
"TCGA-55-7574",6.49465647036554,-5.27882244555804,"15"
"TCGA-AP-A1E0",-7.23444929568555,19.0493549083989,"8"
"TCGA-BC-A10Q",-1.98342626919966,30.7981876868145,"2"
"TCGA-V1-A8WS",-22.0240182797829,15.5429354369467,"5"
"TCGA-S9-A6WI",-34.5791979383209,-3.59343779886998,"23"
"TCGA-2G-AAHL",20.9994424646396,-20.3168124405155,"17"
"TCGA-86-8278",4.02707365529274,-4.62575505190823,"15"
"TCGA-DX-A7EO",-9.11257194245898,-0.646227480137991,"18"
"TCGA-DX-AB2Q",-2.48730389395552,-4.91333226273981,"14"
"TCGA-AY-5543",14.0274966466092,21.6616535825936,"10"
"TCGA-FB-AAQ3",-0.20029184668242,9.7402851244151,"16"
"TCGA-HS-A5N9",-15.6289308184648,-2.53748549880311,"18"
"TCGA-2G-AAFE",21.4078697736214,-19.464482576757,"17"
"TCGA-VS-A957",24.3746361105711,4.19537660851705,"9"
"TCGA-DX-A1L4",-1.32578784708788,3.02364844541354,"7"
"TCGA-HW-8322",-37.2160171627766,-0.374580744795141,"23"
"TCGA-97-7941",3.54395108564611,-6.11885273827253,"15"
"TCGA-CD-5801",14.9303303809027,13.497373449933,"22"
"TCGA-99-8025",5.33925972910853,-4.33144595280717,"15"
"TCGA-CN-4740",16.504667929988,-2.74746691496234,"12"
"TCGA-B0-5120",-2.38367842770376,-16.9561714139587,"4"
"TCGA-EA-A1QS",17.3721425234882,5.12774705730565,"9"
"TCGA-77-7138",14.6356112976524,-2.61648006946357,"12"
"TCGA-OL-A6VO",-8.06273405630508,4.85230563125436,"11"
"TCGA-AX-A2IN",-6.22104269426727,17.4375502465948,"8"
"TCGA-2J-AABH",0.18902083378774,10.4219389569488,"16"
"TCGA-WY-A85C",-35.7664687401685,1.01643248709246,"23"
"TCGA-CC-A3MC",-2.72019236694172,29.8697403076608,"2"
"TCGA-HB-A5W3",-14.2890915502387,-4.21094476859123,"21"
"TCGA-2H-A9GQ",6.55228778105211,8.31268543149634,"18"
"TCGA-CR-6484",16.3110530610443,-2.72037655432341,"12"
"TCGA-DK-AA6S",12.5690470662551,3.00501390163257,"20"
"TCGA-BL-A13J",15.7879682387358,7.0432465785209,"20"
"TCGA-UN-AAZ9",-12.4098851068678,-26.3496942689343,"6"
"TCGA-C5-A1BE",22.4668936436025,4.35682352821965,"9"
"TCGA-TM-A84Q",-35.0856407433784,0.21517019676346,"23"
"TCGA-55-8620",3.10638301778197,-0.0896381629007942,"15"
"TCGA-XP-A8T8",20.2021066755829,-6.81597680161205,"1"
"TCGA-2G-AAGM",-9.84749056312792,-8.22064277035783,"0"
"TCGA-E9-A1RC",-14.7912361459938,-8.77946592471865,"7"
"TCGA-VM-A8CA",-35.798938861201,-2.31633147688376,"23"
"TCGA-H2-A421",12.3440796484026,-29.4292455271737,"19"
"TCGA-IB-7887",0.80930802043441,6.97026314653316,"16"
"TCGA-DD-AACS",-2.88158746478987,32.7124576540495,"2"
"TCGA-D7-6526",6.1048546271484,10.3418986458132,"22"
"TCGA-2G-AAGP",-7.97015929417374,-8.26746064181952,"7"
"TCGA-3M-AB46",6.98666665281405,16.7323013661382,"22"
"TCGA-CF-A3MF",9.40004773330618,6.02262665930131,"20"
"TCGA-BA-A8YP",17.1703930575766,-7.27756516333838,"1"
"TCGA-J8-A4HY",11.9736794483947,-30.0244184595672,"19"
"TCGA-DX-A48K",-3.61242518477485,-3.86701672307116,"14"
"TCGA-IG-A4QS",7.81017126269757,16.2570609801503,"22"
"TCGA-GC-A3RC",18.654881920959,1.24068128848787,"12"
"TCGA-BC-A8YO",1.01631716351938,32.734193789887,"2"
"TCGA-L5-A43E",9.09108606935944,16.2272194180526,"22"
"TCGA-78-8640",6.68487146382416,-7.32206279209553,"15"
"TCGA-EJ-7125",-24.2339394478466,12.6166602696142,"5"
"TCGA-BA-5153",22.8853372368355,8.26267116089025,"9"
"TCGA-56-8083",18.0506683934614,-15.9993349419547,"17"
"TCGA-DX-AB2S",-0.980460824244962,0.527100859855397,"7"
"TCGA-D1-A102",-9.24923193785647,17.3084081708645,"8"
"TCGA-AK-3434",1.9991835455737,-18.2701858970237,"4"
"TCGA-LL-A442",-15.280434792206,5.61566385756151,"11"
"TCGA-BH-A8FZ",-12.0299478449456,6.13385649537244,"11"
"TCGA-J9-A8CM",-20.6947016365075,14.2100216261524,"5"
"TCGA-DV-5566",-0.181764786803224,-18.2328217522524,"4"
"TCGA-53-A4EZ",7.33213351000589,-7.12876329745853,"15"
"TCGA-LL-A7SZ",-9.3823375175005,7.06548314151773,"15"
"TCGA-BB-4217",15.9085560806749,-0.858232928897293,"12"
"TCGA-49-AARO",6.9360479645305,-4.61985917468234,"15"
"TCGA-3A-A9IV",-3.05127114663454,5.6469025691231,"15"
"TCGA-LN-A4MQ",18.3281103792166,-9.64944181206368,"1"
"TCGA-US-A774",0.56587230017376,7.36795227102243,"16"
"TCGA-QT-A5XO",-27.8956161219448,-15.6927741165815,"13"
"TCGA-D1-A2G5",-8.82368134709883,18.2911239887733,"8"
"TCGA-US-A77G",1.75067282273993,10.4254875182421,"16"
"TCGA-DD-AAEK",-0.40299861938799,32.3519690984804,"2"
"TCGA-05-4433",3.41441388966255,12.4764237657356,"22"
"TCGA-GE-A2C6",8.55506005617537,-32.541777245183,"19"
"TCGA-WB-A80V",-28.3515977982945,-18.4022072141331,"13"
"TCGA-BR-6707",14.9084237285098,14.09889829104,"22"
"TCGA-L5-A8NM",12.1191096238624,16.9116476121784,"22"
"TCGA-T1-A6J8",0.177777601424782,33.1637238889335,"2"
"TCGA-D1-A17B",-9.90013666414399,20.2821831085834,"8"
"TCGA-CV-5431",16.535696770804,-8.67465334077439,"1"
"TCGA-F9-A97G",-7.81027810875866,-21.1856139581188,"3"
"TCGA-77-8156",15.6875674660391,-8.00901133537,"1"
"TCGA-EY-A1GV",-1.53400145961468,-10.4089982707376,"3"
"TCGA-CW-6090",3.13676189928651,-18.8762921328167,"4"
"TCGA-IN-8663",10.4296772318593,13.5058816519157,"22"
"TCGA-BT-A3PK",11.7802714639869,-0.528318618077346,"12"
"TCGA-X3-A8G4",-8.03557468340478,-8.53270772511526,"7"
"TCGA-BJ-A28S",9.52717793066481,-34.0058767433651,"19"
"TCGA-GU-A42R",9.07539046948258,1.27726316847366,"20"
"TCGA-EL-A3H5",11.7231006080422,-27.6493912081749,"19"
"TCGA-RG-A7D4",1.21484357382452,31.6945355685215,"2"
"TCGA-EJ-5498",-21.1943518511811,12.0858843923093,"5"
"TCGA-UF-A719",23.1464967059744,-3.22605785203472,"12"
"TCGA-J2-8194",5.57553027126279,-3.4218491155116,"15"
"TCGA-CQ-A4CI",21.8553747038032,-8.32389733255352,"1"
"TCGA-58-8386",5.54741378519595,-9.41606937649072,"15"
"TCGA-IB-AAUR",0.27235307293511,2.09863467387621,"7"
"TCGA-CV-A6JE",15.6143020681353,1.7588361005497,"12"
"TCGA-44-7661",5.35137953496593,-6.17057651902793,"15"
"TCGA-DG-A2KH",-0.847364866089944,16.4039067813594,"9"
"TCGA-85-A53L",14.1479050196108,-7.51563488152996,"1"
"TCGA-A6-2685",12.0072967978122,22.5697948041134,"10"
"TCGA-A4-A4ZT",-10.7322918656264,-20.270159076003,"6"
"TCGA-EP-A26S",-0.342480106635033,34.2377923506142,"2"
"TCGA-XF-A9T5",12.5942925508133,-5.2867669614094,"9"
"TCGA-BQ-5886",-4.78612645174456,-18.5161363315788,"3"
"TCGA-CC-A3MB",-1.89014777514336,33.2320646149204,"2"
"TCGA-KS-A41F",13.8665069182717,-30.3636839067939,"19"
"TCGA-77-8008",5.33752945780333,-10.1300618959211,"15"
"TCGA-D8-A1JE",-13.4148177703021,4.53746582198032,"11"
"TCGA-S4-A8RP",0.7736482483295,9.99755493036802,"16"
"TCGA-HZ-A77P",-0.0981378324867531,5.7307536248107,"16"
"TCGA-DX-A8BM",-4.9392881647708,-2.52106149044527,"14"
"TCGA-DX-A48O",-13.4871936358542,-4.73690138762461,"21"
"TCGA-CR-6491",20.1101543716934,0.0180127516049267,"12"
"TCGA-XN-A8T5",0.192661046691816,2.54249658639419,"7"
"TCGA-DH-5140",-30.8523838181271,-1.74955700615637,"23"
"TCGA-2J-AAB4",0.497001025273787,8.91621101821488,"16"
"TCGA-CM-5868",15.4539718506139,21.3318554284082,"10"
"TCGA-44-8119",9.82756844935792,-7.35746552969521,"15"
"TCGA-BP-5169",3.28436639061141,-16.0239136592701,"4"
"TCGA-2G-AAFJ",-9.12262448056053,-6.84802036902004,"0"
"TCGA-E1-A7YL",-31.6455425963602,-4.38346024443335,"23"
"TCGA-HU-A4GQ",11.1447152897436,16.7448457909554,"22"
"TCGA-XE-AAOF",20.6709078009027,-18.4935397300543,"17"
"TCGA-RW-A686",-25.6971352731601,-15.8288568226739,"13"
"TCGA-BH-A8FY",-14.2287464457269,7.15094362539352,"11"
"TCGA-WB-A80P",-24.6327246631267,-11.621739093483,"13"
"TCGA-HT-8018",-34.4355889045233,-3.2446636440598,"23"
"TCGA-ET-A3DW",10.5294299417077,-28.8050441397508,"19"
