"","sample","cor","split","analysis","features","hubness"
"296","ACH-000475",0.618712272427457,"test","gex","gex_only","with_hubness"
"297","ACH-000476",0.576449963996167,"test","gex","gex_only","with_hubness"
"298","ACH-000477",0.552937034229909,"test","gex","gex_only","with_hubness"
"299","ACH-000478",0.590866403950253,"test","gex","gex_only","with_hubness"
"300","ACH-000479",0.557426379495963,"test","gex","gex_only","with_hubness"
"301","ACH-000480",0.587523130550876,"test","gex","gex_only","with_hubness"
"302","ACH-000481",0.586017273986666,"test","gex","gex_only","with_hubness"
"303","ACH-000483",0.584185798576332,"test","gex","gex_only","with_hubness"
"304","ACH-000484",0.541885830955259,"test","gex","gex_only","with_hubness"
"305","ACH-000485",0.572830576235411,"test","gex","gex_only","with_hubness"
"306","ACH-000486",0.628655514900606,"test","gex","gex_only","with_hubness"
"307","ACH-000487",0.602323181295782,"test","gex","gex_only","with_hubness"
"308","ACH-000488",0.636946823142417,"test","gex","gex_only","with_hubness"
"309","ACH-000489",0.578158860323525,"test","gex","gex_only","with_hubness"
"310","ACH-000490",0.5959816499626,"test","gex","gex_only","with_hubness"
"311","ACH-000491",0.552757016899732,"test","gex","gex_only","with_hubness"
"312","ACH-000493",0.57848732475842,"test","gex","gex_only","with_hubness"
"313","ACH-000495",0.572389471452889,"test","gex","gex_only","with_hubness"
"314","ACH-000496",0.565667287968585,"test","gex","gex_only","with_hubness"
"315","ACH-000499",0.593812624931335,"test","gex","gex_only","with_hubness"
"316","ACH-000500",0.57816089698488,"test","gex","gex_only","with_hubness"
"317","ACH-000501",0.617428974414677,"test","gex","gex_only","with_hubness"
"318","ACH-000502",0.595143918035643,"test","gex","gex_only","with_hubness"
"319","ACH-000503",0.563634853919865,"test","gex","gex_only","with_hubness"
"320","ACH-000504",0.586623175534452,"test","gex","gex_only","with_hubness"
"321","ACH-000505",0.570186414265936,"test","gex","gex_only","with_hubness"
"322","ACH-000507",0.601123648655326,"test","gex","gex_only","with_hubness"
"323","ACH-000510",0.595649210722418,"test","gex","gex_only","with_hubness"
"324","ACH-000511",0.581329508142204,"test","gex","gex_only","with_hubness"
"325","ACH-000512",0.578609782312734,"test","gex","gex_only","with_hubness"
"326","ACH-000514",0.582562101337501,"test","gex","gex_only","with_hubness"
"327","ACH-000516",0.595550130199403,"test","gex","gex_only","with_hubness"
"328","ACH-000517",0.589603665744381,"test","gex","gex_only","with_hubness"
"329","ACH-000518",0.62935540937157,"test","gex","gex_only","with_hubness"
"330","ACH-000520",0.558193348862183,"test","gex","gex_only","with_hubness"
"331","ACH-000521",0.535847992291934,"test","gex","gex_only","with_hubness"
"332","ACH-000522",0.599674854492094,"test","gex","gex_only","with_hubness"
"333","ACH-000524",0.612363908645652,"test","gex","gex_only","with_hubness"
"334","ACH-000525",0.604031125079812,"test","gex","gex_only","with_hubness"
"335","ACH-000527",0.612148667895776,"test","gex","gex_only","with_hubness"
"336","ACH-000528",0.610519461748107,"test","gex","gex_only","with_hubness"
"337","ACH-000532",0.580240886424645,"test","gex","gex_only","with_hubness"
"338","ACH-000533",0.57018563911982,"test","gex","gex_only","with_hubness"
"339","ACH-000535",0.597212118597037,"test","gex","gex_only","with_hubness"
"340","ACH-000537",0.598422746761513,"test","gex","gex_only","with_hubness"
"341","ACH-000541",0.585143883955447,"test","gex","gex_only","with_hubness"
"342","ACH-000542",0.590482252578989,"test","gex","gex_only","with_hubness"
"343","ACH-000544",0.62715933892533,"test","gex","gex_only","with_hubness"
"344","ACH-000545",0.59802035023213,"test","gex","gex_only","with_hubness"
"345","ACH-000546",0.608748485917128,"test","gex","gex_only","with_hubness"
"346","ACH-000547",0.572929952259067,"test","gex","gex_only","with_hubness"
"347","ACH-000548",0.589178188929144,"test","gex","gex_only","with_hubness"
"348","ACH-000549",0.586264322399522,"test","gex","gex_only","with_hubness"
"349","ACH-000550",0.548425067769402,"test","gex","gex_only","with_hubness"
"350","ACH-000551",0.565342513459771,"test","gex","gex_only","with_hubness"
"351","ACH-000552",0.611569692943439,"test","gex","gex_only","with_hubness"
"352","ACH-000554",0.589865622154831,"test","gex","gex_only","with_hubness"
"353","ACH-000556",0.576226576866419,"test","gex","gex_only","with_hubness"
"354","ACH-000557",0.535566499251867,"test","gex","gex_only","with_hubness"
"355","ACH-000558",0.581702694176361,"test","gex","gex_only","with_hubness"
"356","ACH-000559",0.567475936443574,"test","gex","gex_only","with_hubness"
"357","ACH-000561",0.608106568715586,"test","gex","gex_only","with_hubness"
"358","ACH-000562",0.561622250966212,"test","gex","gex_only","with_hubness"
"359","ACH-000563",0.591873283082668,"test","gex","gex_only","with_hubness"
"360","ACH-000565",0.587987158388403,"test","gex","gex_only","with_hubness"
"361","ACH-000567",0.603837020587256,"test","gex","gex_only","with_hubness"
"362","ACH-000570",0.576084363555441,"test","gex","gex_only","with_hubness"
"363","ACH-000571",0.600344371705205,"test","gex","gex_only","with_hubness"
"364","ACH-000573",0.628182474982332,"test","gex","gex_only","with_hubness"
"365","ACH-000576",0.595646220414575,"test","gex","gex_only","with_hubness"
"366","ACH-000577",0.544478322397095,"test","gex","gex_only","with_hubness"
"367","ACH-000579",0.573546383208003,"test","gex","gex_only","with_hubness"
"368","ACH-000580",0.574343470271821,"test","gex","gex_only","with_hubness"
"369","ACH-000581",0.594361801918545,"test","gex","gex_only","with_hubness"
"370","ACH-000584",0.608625269084639,"test","gex","gex_only","with_hubness"
"371","ACH-000585",0.575304523724943,"test","gex","gex_only","with_hubness"
"372","ACH-000587",0.599387313516261,"test","gex","gex_only","with_hubness"
"373","ACH-000588",0.586391123361133,"test","gex","gex_only","with_hubness"
"374","ACH-000589",0.612942412487551,"test","gex","gex_only","with_hubness"
"375","ACH-000591",0.56294126225255,"test","gex","gex_only","with_hubness"
"376","ACH-000592",0.562069475853633,"test","gex","gex_only","with_hubness"
"377","ACH-000593",0.591198758825279,"test","gex","gex_only","with_hubness"
"378","ACH-000595",0.594296748975119,"test","gex","gex_only","with_hubness"
"379","ACH-000596",0.612869885911209,"test","gex","gex_only","with_hubness"
"380","ACH-000597",0.585776812492327,"test","gex","gex_only","with_hubness"
