"","target","metric","Method","value","finetuning"
"160","Crizotinib","pearson_corr","DirectPred",0.228896582290976,"No Fine Tuning"
"161","Crizotinib","pearson_corr","DirectPred",0.152034298331566,"No Fine Tuning"
"162","Crizotinib","pearson_corr","DirectPred",0.15150527528397,"No Fine Tuning"
"163","Crizotinib","pearson_corr","DirectPred",0.0695458626270612,"No Fine Tuning"
"164","Crizotinib","pearson_corr","DirectPred",0.22390769553721,"No Fine Tuning"
"165","Crizotinib","pearson_corr","DirectPred",0.250130576719888,"No Fine Tuning"
"166","Crizotinib","pearson_corr","DirectPred",0.318361388558186,"No Fine Tuning"
"167","Crizotinib","pearson_corr","DirectPred",0.166375210152236,"No Fine Tuning"
"168","Crizotinib","pearson_corr","DirectPred",0.106333656770515,"No Fine Tuning"
"169","Crizotinib","pearson_corr","DirectPred",0.225493025895232,"No Fine Tuning"
"170","Crizotinib","pearson_corr","DirectPred",0.221000013758893,"No Fine Tuning"
"171","Crizotinib","pearson_corr","DirectPred",0.352216474844082,"No Fine Tuning"
"172","Crizotinib","pearson_corr","DirectPred",0.17494086029254,"No Fine Tuning"
"173","Crizotinib","pearson_corr","DirectPred",0.269598207865894,"No Fine Tuning"
"174","Crizotinib","pearson_corr","DirectPred",0.161199793195873,"No Fine Tuning"
"175","Crizotinib","pearson_corr","DirectPred",0.0789659610209292,"No Fine Tuning"
"176","Crizotinib","pearson_corr","DirectPred",0.215337919381705,"No Fine Tuning"
"177","Crizotinib","pearson_corr","DirectPred",0.183549109546312,"No Fine Tuning"
"178","Crizotinib","pearson_corr","DirectPred",0.299967633369855,"No Fine Tuning"
"179","Crizotinib","pearson_corr","DirectPred",0.281998950233435,"No Fine Tuning"
"180","Crizotinib","pearson_corr","DirectPred",0.0796151473720255,"No Fine Tuning"
"181","Crizotinib","pearson_corr","DirectPred",0.17926178655876,"No Fine Tuning"
"182","Crizotinib","pearson_corr","DirectPred",0.124142676925958,"No Fine Tuning"
"183","Crizotinib","pearson_corr","DirectPred",0.172688166683428,"No Fine Tuning"
"184","Crizotinib","pearson_corr","DirectPred",0.18285922499093,"No Fine Tuning"
"185","Crizotinib","pearson_corr","DirectPred",0.102243248180364,"No Fine Tuning"
"186","Crizotinib","pearson_corr","DirectPred",0.304548673492671,"No Fine Tuning"
"187","Crizotinib","pearson_corr","DirectPred",0.186083003970845,"No Fine Tuning"
"188","Crizotinib","pearson_corr","DirectPred",0.326056808502536,"No Fine Tuning"
"189","Crizotinib","pearson_corr","DirectPred",0.206411744905333,"No Fine Tuning"
"190","Crizotinib","pearson_corr","DirectPred",0.179641122868303,"No Fine Tuning"
"191","Crizotinib","pearson_corr","DirectPred",0.29599223803351,"No Fine Tuning"
"192","Crizotinib","pearson_corr","DirectPred",0.131073769329487,"No Fine Tuning"
"193","Crizotinib","pearson_corr","DirectPred",0.118182059310863,"No Fine Tuning"
"194","Crizotinib","pearson_corr","DirectPred",0.288547315189144,"No Fine Tuning"
"195","Crizotinib","pearson_corr","DirectPred",0.146004423536644,"No Fine Tuning"
"196","Crizotinib","pearson_corr","DirectPred",0.0955194931764579,"No Fine Tuning"
"197","Crizotinib","pearson_corr","DirectPred",0.159077340295627,"No Fine Tuning"
"198","Crizotinib","pearson_corr","DirectPred",0.129459936185971,"No Fine Tuning"
"199","Crizotinib","pearson_corr","DirectPred",0.199173837502798,"No Fine Tuning"
"200","Crizotinib","pearson_corr","DirectPred",0.247401335469729,"No Fine Tuning"
"201","Crizotinib","pearson_corr","GNN",0.316617248086839,"No Fine Tuning"
"202","Crizotinib","pearson_corr","GNN",0.4184548236358,"No Fine Tuning"
"203","Crizotinib","pearson_corr","GNN",0.209653038644621,"No Fine Tuning"
"204","Crizotinib","pearson_corr","GNN",0.219218350253792,"No Fine Tuning"
"205","Crizotinib","pearson_corr","GNN",0.440561041845002,"No Fine Tuning"
"206","Crizotinib","pearson_corr","GNN",0.289723698497626,"No Fine Tuning"
"207","Crizotinib","pearson_corr","GNN",0.34754521246256,"No Fine Tuning"
"208","Crizotinib","pearson_corr","GNN",0.158216933545843,"No Fine Tuning"
"209","Crizotinib","pearson_corr","GNN",0.295441822443865,"No Fine Tuning"
"210","Crizotinib","pearson_corr","GNN",0.245674542625138,"No Fine Tuning"
"211","Crizotinib","pearson_corr","GNN",0.346339407799853,"No Fine Tuning"
"212","Crizotinib","pearson_corr","GNN",0.269147239838427,"No Fine Tuning"
"213","Crizotinib","pearson_corr","GNN",0.296101960217006,"No Fine Tuning"
"214","Crizotinib","pearson_corr","GNN",0.326012109715544,"No Fine Tuning"
